# docs/project/tickets.tsv — THE TICKET INDEX. Every bug, cosmetic item and
# evolution of this project, one row per GitHub issue. THE SOURCE OF TRUTH FOR
# THE LIST (CLAUDE.md [VSP-182], maintainer-ruled 2026-09-14), and this header is
# its spec of record. docs/project/tickets.md is GENERATED from it
# (`python3 tools/tickets.py page`); the gate is tests/test_tickets.sh.
#
# ONE SOURCE OF TRUTH PER QUESTION:
#   the LIST — which tickets exist, their kind and status ...... this file
#   the STORY — report, discussion, rulings as given, resolution  the GitHub issue
#   the FACTS a ticket established .............................. the subject documents ([VSP-12])
#   what a SESSION did .......................................... STATE.md / STATE_HISTORY.md ([VSP-17])
# Live documents name a ticket by its issue number (#N) and never restate its
# status or content. A copy of past content names its origin and date, and goes
# only into a source of truth or an archive.
#
# ENOUGH STAYS LOCAL: without GitHub, the tree must answer four questions about
# every ticket — the four answer columns below. Only the conversation, and a
# third party's report text, may exist on GitHub alone.
#
# repo: DefinitelyFrenchName/VampireSaved
#
# COLUMNS (tab-separated; rows ordered newest issue first):
#   issue     the GitHub issue number, the key. Every issue on GitHub has exactly
#             one row; a ticket with no issue yet does not exist yet.
#   kind      bug | cosmetic | evolution. A change of kind is an edit here and a
#             label on GitHub, never a move.
#               bug        a defect: something does not do what it should
#               cosmetic   presentation only, no gameplay effect
#               evolution  a change or capability to add, not a defect
#   status    open | parked                                   the issue is OPEN
#             done | declined | not-ours | invalid | duplicate  the issue is CLOSED
#               done       fixed, or delivered
#               declined   ruled not to be done
#               not-ours   vanilla behaviour, or outside this project
#               invalid    the premise was refuted
#               duplicate  another ticket holds it (named in `decided`)
#             CLOSED MEANS NOTHING IS LEFT TO DO: an option kept open is its own
#             ticket, linked from this one.
#             GitHub's close reason (completed / not planned) is not mapped:
#             the status is this column's.
#   title     one searchable line, in our words
#   repro     how to reproduce it: a recording, a replay, a rig or a gate
#   decided   what was decided. Rulings are recorded locally whatever channel
#             gave them: STATE "Standing rulings", DECISIONS_HISTORY.md, a doc.
#   learned   what was learned: the mechanism, the measurement
#   wrong     what went wrong: retracted theories, traps, bad patterns
#             Each answer is `none`, or links separated by ` ; `. A link is a
#             repo-relative `path`, which must exist, or `path § text`, where
#             some line of the file must contain the text. `learned` and `wrong`
#             link a LIVE document (a subject doc, a gotchas bucket, a skill),
#             never STATE.md, which rolls, or an archive (`*_HISTORY.md`,
#             `*_history.md`).
#   sessions  the session keys that worked on it, comma-separated
#             (`14z-112,14z-126b`), each resolving in STATE.md or
#             STATE_HISTORY.md; or `-`
#
# BACKFILL DEBT: `?` in any column but issue and title marks a row not yet
# backfilled (the retrofit that opened this file, 2026-09-14). Only issues listed
# in tests/expected/tickets_debt.txt may carry `?`, and that list only SHRINKS:
# the commit that answers a row's last `?` removes the issue from it.
#
# THE GITHUB SIDE: docs/project/tickets_github.tsv is GitHub's issue list as
# saved by `python3 tools/tickets.py refresh` at a session close, and the gate
# compares open/closed against it offline. A NEW TICKET: create the issue,
# refresh, add the row. CLOSING ONE (CLAUDE.md [VSP-182]), in one commit: its
# facts go where they belong; the issue and the tree are reconciled and a closing
# comment states the resolution; this row records the status and the four
# answers; any STATE entry for it moves VERBATIM to STATE_HISTORY.md under the
# closing session's key.
#
# WHAT THE GATE DOES NOT CLAIM: that an answer is ENOUGH. That is judged at the
# close that closes the ticket.
issue	kind	status	title	repro	decided	learned	wrong	sessions
159	bug	open	Tenant attack records with facing rule 5 are XORed into the victim's facing by vsavj's hit code — Killshread Summon (ES) pushes Demitri away where native drags him in	tests/audit_facing_rule.sh	none	docs/game/engine_internals.md § **vsavj's resolver (`0x18854`) has NO rule 5**	docs/project/gotchas.md § A WORD COUNTER SAMPLED AS A BYTE READS ITS HIGH BYTE	14z-167
158	bug	open	rulecheck.py: a model change never invalidates a calibration — the checklist hash is checked, the model is not, and the ledger records 'default'	tools/rulecheck.py § def calibrated(ledger_rows, name	none	none	none	14z-167
157	bug	open	Tenant throws pay meter to the wrong fighters — the ported throw code never registers the hit pair on vsavj (the 14x rollback's price; #136's meter family)	tests/audit_throw_registration.sh	none	docs/game/engine_internals.md § THE HIT-REGISTRATION PAIR, MEASURED (14z-166	docs/project/gotchas.md § A ROLLED-BACK RECONCILIATION IS A LIVE DEFECT WITH A NAMED PRICE	14z-166
156	bug	done	rulecheck.py: two line ranges of one artifact collide in staging, the reader sees only the last	tools/rulecheck.py § a line range	docs/project/rule_checker.md § stages under its own name	docs/project/rule_checker.md § stages under its own name	tests/rulecheck/runs/2026-09-17-22/verdict_real.txt § Q5	14z-164
155	bug	open	audit_forced_pick_fidelity: the poked leg is a hand-typed replica of the #136 rig's leg with no control against drift	tests/audit_forced_pick_fidelity.sh	none	none	none	14z-163
154	bug	open	audit_forced_pick_fidelity: the FREEZE branch exits before the identity assertions and the controls, so a failed run can freeze	tests/audit_forced_pick_fidelity.sh	none	none	none	14z-163
153	evolution	open	Run the test tiers on a scratch clone at a named commit (lever B of #148): integrity and traceability at freeze/release as bbh/BBX do	none	DECISIONS_HISTORY.md § #148 second cut, #148 closed, lever B its own ticket	none	none	14z-162
152	evolution	done	An independent adversarial rule-checker at every decision point — redundancy for rule APPLICATION, not for measurement	tests/test_rule_checker.sh ; tests/rulecheck/ledger.tsv	DECISIONS_HISTORY.md § Ruled 2026-09-17 (14z-164b) ; DECISIONS_HISTORY.md § the rule-checker's questions Q3 and Q4	docs/project/rule_checker.md § The first real runs under the bounded questions ; docs/project/rule_checker.md § What it will not catch	docs/project/gotchas.md § A FORCED-PICK NATIVE LEG MEASURES THE RIG ; docs/project/rule_checker.md § stages under its own name	14z-159,14z-163,14z-164
151	evolution	done	Re-examine #136 end to end: the forced-pick native leg is unvalidated, so 17 of 27 parity verdicts rest on an unmeasured assumption	tests/audit_forced_pick_fidelity.sh ; tests/test_poked_legs.sh ; tests/audit_latch_reads.sh	DECISIONS_HISTORY.md § Ruled 2026-09-17 (14z-162) ; DECISIONS_HISTORY.md § #136 GOES OVER AGAIN IN FULL, AND STAYS ON THE LIST UNTIL IT HAS	docs/project/gotchas.md § WHAT A FORCED PICK GETS WRONG IS DECIDED BY THE CELL'S TABLE AND THE FIGHTER'S READERS	docs/project/gotchas.md § A FORCED-PICK NATIVE LEG MEASURES THE RIG FOR ANYTHING THE SELECT CONFIRM LATCHES	14z-159,14z-160,14z-161,14z-162
150	evolution	open	The freeze ritual's three silent-green failure modes need a mechanical guard (test_freeze_set_shape + a committed freeze driver)	docs/project/gotchas.md § A FREEZE DRIVER THAT DOES NOT PIN	none	docs/project/gotchas.md § THE MERGED EXPECTATION SET MUST HAVE ITS 16 SELF-FROZEN	docs/project/gotchas.md § A FREEZE DRIVER THAT DOES NOT PIN	14z-159
149	bug	invalid	Phobos's specials skip a 2-frame seq-4 startup state native vsav2 plays (one cause behind ~11 of his moves)	tests/audit_move_parity.sh	DECISIONS_HISTORY.md § #149 AND #147 CLOSED AS INVALID	docs/game/atlas/character_tables.md § PHOBOS'S SIDE OF THE LATCH	docs/project/gotchas.md § A FORCED-PICK NATIVE LEG MEASURES THE RIG	14z-159,14z-160
148	evolution	done	Review the static tier's contents and when it is applied — a commit currently blocks the tree for ~25 min, a close for ~40	none	DECISIONS_HISTORY.md § Ruled 2026-09-17 (14z-162) — #148 lever A ; DECISIONS_HISTORY.md § #148 second cut, #148 closed, lever B its own ticket	HANDOFF.md § SESSION cadence, the default since 14z-162	none	14z-159,14z-162
147	bug	invalid	Phobos's float runs the VH2 flavor: huitzil.toml flavor_default is 0x00 where native vsav2 seeds 0x01	tests/replays/naming/huitzil_1.rpl	DECISIONS_HISTORY.md § #149 AND #147 CLOSED AS INVALID	docs/game/atlas/character_tables.md § PHOBOS'S SIDE OF THE LATCH ; docs/project/gotchas.md § A FORCED-PICK NATIVE LEG MEASURES THE RIG	docs/project/gotchas.md § A FORCED-PICK NATIVE LEG MEASURES THE RIG	14z-159,14z-160
146	bug	open	The release packages' player READMEs are not complete or detailed enough (reported)	none	none	none	none	14z-158
145	bug	open	Windows: the release packages' prebuilt emulator binaries fail to load the game (reported, not yet reproduced)	none	none	none	none	14z-158
144	bug	open	macOS: the release packages' prebuilt emulator binaries cannot be executed — macOS blocks them (reported, not yet reproduced)	none	none	none	none	14z-158
143	bug	open	tests/lua/walker_sp.lua reads the supervisor stack on MAME 0.288 (no A7 state); two walker audits consume its ranges	docs/platform/gotchas.md § MAME 0.288'S 68000 CORE HAS NO `A7` STATE	DECISIONS_HISTORY.md § #143 FILED, TO BE SOLVED CAUTIOUSLY	docs/platform/gotchas.md § tests/lua/walker_sp.lua` still reads	none	14z-158
142	bug	invalid	Donovan's 421+MP with no mash lands 5 hits on our build and 4 on native vsav2 at NORMAL speed (equal at TURBO)	tests/test_don_immortal_native.sh	DECISIONS_HISTORY.md § #142 CLOSED AS INVALID	docs/game/engine_internals.md § THE RNG PICKS WHICH FIGHTER UPDATES FIRST ON EVERY PASS	docs/game/gotchas.md § A CROSS-GAME COMPARISON NEEDS A MATCHED PLAY MODE AND A PINNED RNG	14z-158
141	evolution	parked	The full FBNeo hacked-vs-vanilla legacy track — CLAUDE.md [VSP-24]'s deferral (the #78 residual)	tests/test_fbneo_legacy_oracle.sh	DECISIONS_HISTORY.md § #78: the full FBNeo legacy track becomes its own ticket, #141 ; CLAUDE.md § parked as #141, to be reopened on a measured FBNeo-vs-MAME disagreement on	tests/test_fbneo_legacy_oracle.sh § SCOPE, STATED PLAINLY (maintainer-agreed 14z-92)	none	14z-157
140	bug	open	The static runners' controls readout re-adds the previous gate's must-fire counts for every gate that does not PASS — fired/declared overstated on a red run	docs/project/gotchas.md § THE STATIC TIER'S MUST-FIRE READOUT OVERSTATES	none	docs/project/gotchas.md § THE STATIC TIER'S MUST-FIRE READOUT OVERSTATES	none	14z-155,14z-156
139	bug	done	A rejected build keeps its packed rompath, indistinguishable on disk from a finished build (the #1 residual)	tests/test_rompath_reject.sh	tools/rompath_reject.sh § this EXIT-trap variant maintainer-ruled	tools/rompath_reject.sh § A REJECTED BUILD DOES NOT KEEP ITS ROMPATH	tools/rompath_reject.sh § LEFT THE PACKED ZIPS in rompath	14z-155
138	bug	open	A stock-track build directory without its vsavj.zip silently dispatches run_suite to the VANILLA expectations — the reference-row rule nothing enforces (the #55 residual)	docs/project/gotchas.md § NOTHING ENFORCES THAT SECOND RULE	none	docs/project/gotchas.md § NOTHING ENFORCES THAT SECOND RULE	none	14z-155
137	bug	done	test_wide_profile's reference guard trusts a profile check that nothing in the run proves can see the profile (the #63 residual)	tests/test_wide_profile.sh	tests/test_wide_profile.sh § (#137, maintainer-ruled 2026-09-14 — the residual #63 left open on	tests/test_wide_profile.sh § THE GUARD'S OWN PREDICATE IS PROVEN BEFORE ITS NEGATIVE CLEARS A REFERENCE	tests/test_wide_profile.sh § 2026-08-16). The guard below only ever ACTS on a positive, so a predicate	14z-155
136	evolution	open	Tenant move parity vs native VS2: compare Donovan, Phobos and Pyron's moves on the WIDE merged build against vsav2	tests/test_hui_oracle.sh ; tests/test_m2a_stage4_oracle.sh	DECISIONS_HISTORY.md § RULING (maintainer, 2026-09-02): "we must respect the fact that we are ; DECISIONS_HISTORY.md § #109: the clone-beam positive-contact damage leg is FOLDED INTO #136 ; DECISIONS_HISTORY.md § #136 GOES OVER AGAIN IN FULL, AND STAYS ON THE LIST UNTIL IT HAS	docs/project/coverage_matrix.md § tenant moves vs native vsav2 ; docs/game/gotchas.md § A CROSS-GAME COMPARISON NEEDS A MATCHED PLAY MODE AND A PINNED RNG ; docs/project/gotchas.md § A FORCED-PICK NATIVE LEG MEASURES THE RIG	none	14z-155,14z-157,14z-159,14z-160,14z-160,14z-164
135	evolution	done	The VS-vs-VS2 tick cadence: re-establish its measurement, mechanism and scope, and document it as foundational engine data	tests/audit_tick_cadence.sh	DECISIONS_HISTORY.md § THE IMMORTAL GATE AT MATCHED PLAY MODES	docs/game/engine_internals.md § THE PLAY MODE DECIDES THE EXTRA LOGIC PASSES	docs/game/gotchas.md § A CROSS-GAME COMPARISON NEEDS A MATCHED PLAY MODE AND A PINNED RNG	14z-127,14z-154,14z-156,14z-158
134	bug	open	The hit rigs' LP events whiff at contact range	tools/vanilla_join_rig.py	none	none	none	-
133	evolution	parked	Re-measure the emulator runner's pull-queue gain (3.48x at --jobs 4 on the MacBook) on a wider host	tests/run_all_emulator.sh	none	tests/run_all_emulator.sh § A PULL QUEUE, NOT A PUSH BATCH	docs/project/gotchas.md § The pull queue's slot semaphore	14z-144
132	bug	open	release/merged-m15 (the 14z-130 M13 boot-title freeze) was never packaged	none	none	HANDOFF.md § THE 14z-130 M13 BOOT-TITLE FREEZE	none	14z-130
131	evolution	open	audit_mask_window_ff42a2: deprecate it, or keep it as a case-specific instrument?	tests/audit_mask_window_ff42a2.sh	tests/ci_emulator.tsv § its SKIP APPROVED by the maintainer 2026-09-06	.claude/skills/vampire-saved-port/SKILL.md § [VSP-35]	none	14z-128,14z-134
130	bug	open	bundle_win_dlls.py prints U+FFFD for its em dash on MSYS2 (build logs only)	tools/bundle_win_dlls.py	none	docs/platform/gotchas.md § A NATIVE WINDOWS PYTHON WRITES	none	14z-153
129	bug	parked	Tenant CPU AI looks lackluster (unproven; first question: are the ported script blocks complete?)	none	STATE_HISTORY.md § TENANT CPU AI LOOKS "LACKLUSTER"	docs/game/engine_internals.md § The CPU AI action-script system	.claude/skills/vampire-saved-port/SKILL.md § [VSP-71]	14z-111
128	evolution	parked	Marionette (a Vampire Savior 2 character): parked until further notice	none	STATE_HISTORY.md § MARIONETTE — a vs2 character, PARKED UNTIL FURTHER NOTICE	docs/game/atlas/select_screen.md § there is NO Marionette in Vampire	none	14z-116
127	cosmetic	parked	#112 option (B): the Press of Death effect owns its palette row (scope first)	tests/test_pod_black_foot_palette.sh	DECISIONS_HISTORY.md § #112's FIX — DECIDED	docs/game/engine_internals.md § MEASURED INSTANCE (GitHub #112	docs/project/gotchas.md § A DEFECT THAT LIVES IN A RELATIONSHIP BETWEEN TWO TIMELINES	14z-112,14z-126b
126	cosmetic	parked	Select-wheel look-and-feel polish	none	none	docs/game/atlas/select_screen.md	none	-
125	cosmetic	parked	Arcade-ladder map names and pictures (not investigated)	none	DECISIONS_HISTORY.md § #100: the "after MiSTer" residual is FOLDED INTO #125	none	none	14z-157
124	cosmetic	parked	Arcade-ladder opponent-roulette tag shows the base character for a tenant opponent	tests/test_ladder_tenant_vs_palette.sh	none	docs/game/engine_internals.md § test_ladder_tenant_vs_palette	none	14z-123
123	cosmetic	parked	Win-quote text for the three tenants (forgone for now; only the clean way, vanilla untouched)	tests/test_win_quote_decode.sh	DECISIONS_HISTORY.md § THE TENANTS' WIN QUOTES — FORGONE FOR NOW	docs/game/engine_internals.md § Portrait and quote — DIFFERENT mechanisms ; tools/scan_quote_window.py	none	14z-73,14z-116
122	evolution	parked	Run the --controls release tier on the dedicated Linux server and compare its speed with the Mac	tests/run_all_emulator.sh	none	HANDOFF.md § WHAT THE RELEASE RUN COSTS, MEASURED	none	14z-153
121	evolution	parked	Linux release binaries built on the dedicated server, plus the clean-machine check at release (option 3)	tests/test_release_binaries.sh	DECISIONS_HISTORY.md § Copied 2026-09-14 from the Linux self-containment anchor entry	docs/project/build_environments.md	docs/platform/gotchas.md § ON A LINUX BUILD HOST EVERY BUNDLED LIBRARY ALSO RESOLVES SYSTEM-WIDE	14z-150,14z-152
120	evolution	parked	The rebuild-from-docs option after MiSTer (a possibility to preserve, not a commitment)	none	STATE_HISTORY.md § THE LIVING-DOCUMENTATION EFFORT, and the option it creates	docs/project/living_docs_scope.md	none	14z-135,14z-142
119	evolution	parked	The living-documentation framework as an independent sibling of bbh (ruled at the plan stage, not scheduled)	none	DECISIONS_HISTORY.md § Copied 2026-09-14 from the living-docs generalisation entry	docs/project/harness_scope.md	none	14z-142
118	evolution	parked	Community cross-check: the ~90 unadopted mizuumi player-struct candidates, each adopted only once measured	none	DECISIONS_HISTORY.md § Copied 2026-09-14 from the community cross-check entry	docs/game/atlas/ram.md	none	14z-124,14z-126
117	evolution	open	Community cross-check: naming rigs on vsavj for specials, supers, throws, the CL. rows and the 6-prefixed rows	tools/vanilla_join_rig.py	DECISIONS_HISTORY.md § Copied 2026-09-14 from the community cross-check entry	docs/project/tables/community_crosscheck.md	HANDOFF.md § never the first..last span — the 14z-125 defect ; HANDOFF.md § it overturned a fixed even/odd close/far model	14z-124,14z-125,14z-125b,14z-126,14z-145,14z-146
116	evolution	open	Capture matrix: widen the in-emulator anchors from 3 cells to a sampled row per tenant	tests/audit_capture_matrix.sh	STATE_HISTORY.md § THE CAPTURE-GEOMETRY MATRIX IS NOW SWEPT STATICALLY	.claude/skills/vampire-saved-port/SKILL.md § [VSP-180]	.claude/skills/vampire-saved-port/SKILL.md § [VSP-179]	14z-143,14z-144
115	evolution	parked	Zabel j.LK proximity guard: a surgical legacy patch for vanilla and WIDE (its own session, recording first)	none	STATE_HISTORY.md § ZABEL j.LK PROXIMITY GUARD — A LEGACY-CONTENT PATCH, ITS OWN SESSION	none	none	14z-122
114	bug	invalid	421+P (Lighting Sword): ours lands 3 hits and knocks the victim away; native VS2 lands 6 and holds — measured, and the gate cannot see it	tests/test_don_immortal_native.sh ; tests/replays/don/114_don_immortal_wide.rpl	DECISIONS_HISTORY.md § RULING (maintainer, 2026-09-02): "we must respect the fact that we are ; DECISIONS_HISTORY.md § Copied 2026-09-14 from the #114 entry ; DECISIONS_HISTORY.md § THE IMMORTAL GATE AT MATCHED PLAY MODES	docs/game/gotchas.md § A CROSS-GAME COMPARISON NEEDS A MATCHED PLAY MODE AND A PINNED RNG ; docs/game/engine_internals.md § adds 1 to a **MASH ACCUMULATOR**	docs/project/gotchas.md § A TENANT REPLAY AUTHORED FOR THE SUBSTITUTED WHEEL SELECTS A LEGACY CHARACTER ; docs/game/gotchas.md § IS HALF THE CEILING — and a saturation claim measured below the ceiling ; tests/test_don_reactions.sh § the blind spot GitHub #114 reported	14z-126b,14z-127,14z-158
113	cosmetic	not-ours	Whole-screen flash at the first down (photosensitivity) — seen for many builds	tests/test_down_flash_vanilla.sh ; tests/test_down_flash_mechanism.sh ; tests/inp/play-merged-m9-01	DECISIONS_HISTORY.md § #113 — THE ONE-FRAME WHITE-OUT AT A DOWN IS VANILLA ; DECISIONS_HISTORY.md § The accessibility softening ; docs/game/engine_internals.md § GitHub #113 is CLOSED (maintainer,	docs/game/engine_internals.md § THE MECHANISM IS MEASURED (2026-09-01) AND IT IS A PALETTE-BASE SWAP ; tests/test_down_flash_mechanism.sh § THE MECHANISM behind GitHub #113's one-frame	docs/game/engine_internals.md § both of those candidates are RETRACTED ; docs/game/engine_internals.md § WHAT IS STILL NOT KNOWN: WHY CAPCOM FLASHES THE SCREEN AT ALL	14z-111,14z-112,14z-126b
112	cosmetic	declined	Press of Death (41236+K): blue/black palette about half the time on merged-m9	tests/test_pod_black_foot_palette.sh ; tests/inp/pod-black-m14-01 ; tests/inp/run-merged-m9-05	DECISIONS_HISTORY.md § #112's FIX — DECIDED (maintainer, 2026-09-02) ; DECISIONS_HISTORY.md § #112 — PRESS OF DEATH BLACK FOOT: ACCEPTED AS COSMETIC ; docs/project/tickets.tsv § #112 option (B): the Press of Death effect owns its palette row	docs/game/engine_internals.md § MEASURED INSTANCE (GitHub #112, Donovan's Press of Death) ; docs/project/gotchas.md § A DEFECT THAT LIVES IN A RELATIONSHIP BETWEEN TWO TIMELINES	docs/project/gotchas.md § SEARCH METHODS ARE ORDERED BY COST, NOT BY PROHIBITION ; tools/audit_effect_rects.py § RETRACTED — THE #112 ATTRIBUTION THIS WAS BUILT FOR ; tests/test_pod_black_foot_palette.sh § WHY A CAUSAL GATE ; tests/test_tenant_anim_relocation.sh § #112 (Donovan's Press of Death drawing a black foot) sent two ; docs/project/gotchas.md § Bare-long "pointers" in code are usually operand pairs ; .claude/skills/vampire-saved-port/SKILL.md § [VSP-46] **Bare-long "pointers" in 68k code are usually OPERAND PAIRS**	14z-111,14z-112,14z-126b,14z-127,14z-154,14z-157
